"B_ChannelType";"B_Frequency";"B_LNBNumber";"B_Modulation";"B_Onid";"B_Polarization";"B_ServiceType";"B_Sid";"B_SymbolRate";"B_SystemHidden";"B_Tsid";"H_New_ChannelNumber";"S_ChannelLock";"S_ChannelName";"S_ChannelName_ascii";"S_ChannelNumber";"S_FavoriteNumber";"S_LogoID";"S_LogoLock";"S_SatelliteName";"S_SatelliteName_ascii";"S_Scramble";"S_UserHidden";"S_UserModifiedLogo";"S_UserModifiedName"
"3";"11421";"52";"0";"1";"0";"1";"4710";"22008";"0";"1015";"32";"0";"0x2E 0x00 ";".";"32";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"11421";"52";"0";"1";"0";"1";"4711";"22008";"0";"1015";"33";"0";"0x2E 0x00 ";".";"33";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"11421";"52";"0";"1";"0";"1";"4712";"22008";"0";"1015";"34";"0";"0x2E 0x00 ";".";"34";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"11421";"52";"0";"1";"0";"1";"4714";"22008";"0";"1015";"35";"0";"0x2E 0x00 ";".";"35";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"11421";"52";"0";"1";"0";"1";"4715";"22008";"0";"1015";"36";"0";"0x2E 0x00 ";".";"36";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"11421";"52";"0";"1";"0";"1";"4716";"22008";"0";"1015";"37";"0";"0x2E 0x00 ";".";"37";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"11421";"52";"0";"1";"0";"1";"4717";"22008";"0";"1015";"38";"0";"0x2E 0x00 ";".";"38";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"11670";"52";"0";"1";"0";"1";"5302";"22008";"0";"1031";"39";"0";"0x2E 0x00 ";".";"39";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"11670";"52";"0";"1";"0";"1";"5304";"22008";"0";"1031";"40";"0";"0x2E 0x00 ";".";"40";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
"3";"11685";"52";"0";"1";"1";"1";"30203";"22008";"0";"1032";"41";"0";"0x2E 0x00 ";".";"41";"0";"0";"0";"0x41 0x00 0x53 0x00 0x54 0x00 0x52 0x00 0x41 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0x45 0x00 0x20 0x00 0x31 0x00 0x39 0x00 0x2E 0x00 0x32 0x00 0xC2 0x00 0xB0 0x00 0x45 0x00 ";"ASTRA 19.2E 19.2E";"0";"0";"0";"0"
